names,mismatch,reason
AJ Reeves,,G-league
Aamir Simms,,LBA
Aaron Craft,,G-league
Abdul Gaddy,,G-league
Akil Mitchell,,G-league
Alec Brown,,G-league
Alex Antetokounmpo,,G-league
Alex Robinson,,G-league
Amen Thompson,,2023 new draft
Andre Jackson,,2023 new draft
Andrew Andrews,,G-league
Andrew Funk,,2023 new draft
Angel Rodriguez,,G-league
Anthony Black,,2023 new draft
Anthony Duruji,,G-league
Anthony Lawrence,,G-league
Anthony Tarke,,G-league
Aric Holman,,never played in nba game
Arsalan Kazemi,,never played regular season in nba game
BJ Mullens,,G-league
BJ Taylor,,G-league
BJ Young,,G-league
Barry Brown,,G-league
Beau Beech,,G-league
Ben Sheppard,,2023 new draft
Bennie Boatwright,,G-league
Bilal Coulibaly,,2023 new draft
Bo McCalebb,,never played in nba game
Brady Heslip,,G-league
Brandin Podziemski,,2023 new draft
Brandon Ashley,,G-league
Brandon Dawson,Branden Dawson,
Brandon Heath,,G-league
Brandon McCoy,,G-league
Brandon Miller,,2023 new draft
Brandon Rachal,,G-league
Breein Tyree,,G-league
Brian Butch,,never played in nba game
Brian Qvale,,B2-league
Brice Sensabaugh,,2023 new draft
Brock Motum,,B-league
Bronson Koenig,,G-league
Bryce Brown,,never played in nba game
Bryce Hamilton,,G-league
Bryson Williams,,G-league
CJ Aiken,,G-league
CJ Fair,,G-league
CJ Leslie,,G-league
CJ Massinburg,,G-League
Caleb Homesley,,G-League
Cam Whitmore,,2023 new draft
Cameron Jones,,G-League
Cameron Thomas,Cam Thomas,
Canyon Barry,,G-League
Carleton Scott,,G-League
Carlon Brown,,G-League
Carlos Morais,,Unitel Basket
Casey Prather,,G-League
Cason Wallace,,2023 new draft
Chad Brown,,G-League
Charles Matthews,,G-League
Charlie Westbrook,,G-League
Chet Holmgren,,Lisfranc injury in 2022
Chris Daniels,,G-League
Chris Livingston,,2023 new draft
Chris Udofia,,G-League
Chris Walker,,G-League
Christ Koumadje,,G-League
Christapher Johnson,Chris Johnson,
Christian Vital,,G-League
Christian Watford,,G-League
Colby Jones,,2023 new draft
Corey Hawkins,,G-League
Corey Walden,,G-League
Corey Webster,,NBL
Courtney Fells,,HT Premijer liga
D'Aundray Brown,,G-League
D'or Fischer,,G-League
DJ Carton,,G-League
DJ Hogg,,G-League
DJ Steward,,Canadian Elite Basketball League
DJ Stewart,,LNB
Da'Sean Butler,,never played in nba game
Dakarai Allen,,G-League
Dallas Lauderdale,,G-League
Damen Bell-Holter,,G-League
Damien Jefferson,,G-League
Damion Baugh,,never played in nba game
Dan Nwaelele,,G-League
Darion Atkins,,G-League
Dariq Whitehead,,2023 new draft
Darryl Morsell,,G-League
David Kramer,,G-League
David Lighty,,EuroLeague
Davion Mintz,,G-League
DeJaun Blair,DeJuan Blair,
DeShawn Sims,,G-League
Dedric Lawson,,G-League
Dee Bost,,never played in nba game
Demonte Harper,,G-League
Dennis Schröder,Dennis Schroder,
Denzel Livingston,,G-League
Denzel Mahoney,,G-League
Dereck Lively,,2023 new draft
Derek Culver,,G-League
Deshaun Thomas,,never played in nba game
Desi Rodriguez,,G-League
Devin Searcy,,never played in nba game
Devin Sweetney,,never played in nba game
Devin Williams,,G-League
Devontae Shuler,,G-League
Devonte Patterson,,G-League
Dez Wells,,G-League
Diamon Simpson,,never played in nba game
Dikembe Dixson,,G-League
Ding Yanyuhang,,never played in nba game
Dmytro Skapintsev,,G-League
Doral Moore,,G-League
Drake Jeffries,,G-League
Drew Crawford,,G-League
EJ Liddell,,injury in 2022
EJ Montgomery,,B-league
EJ Singler,,never played in nba game
Edgar Sosa,,never played in nba game
Egidijus Mockevicius,,G-League
Elgin Cook,,G-League
Elijah Pemberton,,G-League
Elijah Stewart,,never played in nba game
Eric Boateng,,G-League
Eric Griffin,,G-League
Erik Atkins,,G-League
Ethan Thompson,,G-League
Filip Petrusev,,never played in nba game
Fuquan Edwin,,G-League
Gabe Brown,,G-League
Galen Robinson,,G-League
Garrett Siler,Garret Siler,
Garrison Brooks,,G-League
George Conditt,,G-League
George Paula,,G-League
Giorgi Bezhanishvili,,G-League
Goran Suton,,never played in nba game
Gracin Bakumanya,,G-League
Gradey Dick,,2023 new draft
Grant Golden,,G-League
Greg Somogyi,,never played in nba game
Hamady N'Diaye,Hamady Ndiaye,
Hank Thorns,,G-League
Henri Drell,,G-League
Herb Jones,Herbert Jones,
Hunter Tyson,,2023 new draft
Ibi Watson,,G-League
Ibou Badji,,injury
Isaac Haas,,CBA
Isaac Hamilton,,G-League
Isaiah Cousins,,G-League
Isaiah Pineiro,,G-League
Ishmael Smith,Ish Smith,
Ishmail Wainright,Ish Wainright,
Ismaila Kane,,G-league
Iverson Molinar,,G-league
JP Tokoto,,G-league
Jacob Toppin,,"2023 sign with NY, have not yet played"
Jae’Sean Tate,Jae'Sean Tate,
Jahlil Tripp,,G-league
Jaime Echenique,,G-league
Jaime Jaquez,,2023 new draft
Jake Anderson,,G-league
Jake Toolson,,G-league
Jakeenan Gant,,G-league
Jaleel Cousins,,G-league
Jaleel Roberts,,G-league
Jalen Adams,Jaylen Adams,
Jalen Hood-Schifino,,2023 new draft
Jalen Pickett,,2023 new draft
Jamar Smith,,G-league
James Akinjo,,G-league
James Banks,,G-league
James Blackmon,,never played in nba game
James Mays,,CBA
Jamorio Moon,Jamario Moon,
Jarace Walker,,2023 new draft
Jaron Johnson,,G-league
Jarrid Famous,,G-league
Jason Washburn,,never played in nba game
Jaylen Barford,,G-league
Jaylen Johnson,,G-league
Jeff Taylor,Jeffery Taylor,
Jeffrey Carroll,,G-league
Jeremiah Tilmon,,G-league
Jeremy Senglin,,G-league
Jeriah Horne,,G-league
Jermaine Samuels,,G-league
Jermey Pargo,Jeremy Pargo,
Jett Howard,,2023 new draft
Joe Jackson,,G-league
Joel Berry,,never played in nba game
John Bohannon,,G-league
John Egbunu,,"never played in nba game, only G-league"
John Petty,,G-league
John Shurna,,never played in nba game
Johnny Hamilton,,G-league
Jon Davis,Johnny Davis,
Jon Horford,,G-league
Jonathan Holmes,,G-league
Jonathan Stark,,G-league
Jordan Bachynski,,never played in nba game
Jordan Barnett,,G-league
Jordan Burns,,canada league
Jordan Ford,,G-league
Jordan Hawkins,,2023 new draft
Jordan Henriquez,,G-league
Jordan Mathews,,G-league
Jordan Murphy,,G-league
Jordan Railey,,G-league
Jordan Vandenberg,,G-league
Jordan Walsh,,2023 new draft
Jose Barea,JJ Barea,
Joseph Young,Joe Young,
Josh Bostic,,G-league
Josh Owens,,G-league
Joshua Smith,Josh Smith,
Jules Bernard,,G-league
Julian Phillips,,2023 new draft
Julian Strawther,,2023 new draft
Justin Brownlee,,G-league
Justin Cobbs,,never played in nba game
Justin Powell,,2023 new draft
Justin Simon,,never played in nba game
Justin Smith,,G-league
Justin Tillman,,never played in nba game
Juwan Staten,,G-league
Kadeem Batts,,G-league
Kadeem Jack,,G-league
Kahlil Whitney,,G-league
Kaiser Gates,,G-league
Kaleb Tarczewski,,G-league
Kaleb Wesson,,never played in nba game
Kamari Murphy,,G-league
Kammron Taylor,,never played in nba game
Keandre Cook,,G-league
Keith Hornsby,,G-league
Kellan Grady,,G-league
Kennedy Meeks,,G-league
Kenny Gabriel,,G-league
Kenny Hasbrouck,,G-league
Kenny Kadji,,never played in nba game
Kenny Williams,,G-league
Kenny Wooten,,G-league
Keyonte George,,2023 new draft
Khalif Wyatt,,CBA
Kleon Penn,,never played in nba game
Kobe Brown,,2023 new draft
Kobe Bufkin,,2023 new draft
Kris Murray,,2023 new draft
Kyle Casey,,G-league
Kyle Fogg,,CBA
LJ Figueroa,,never played an nba game
LJ Peak,,never played an nba game
LaVoy Allen,Lavoy Allen,
Lamar Peters,,never played an nba game
Lance Goulbourne,,never played an nba game
Landry Nnoko,,never played an nba game
Larry Bird,,don't know why there is a difference
Lazeric Jones,,never played an nba game
Leonard Miller,,never played an nba game
Levi Randolph,,never played an nba game
LiAngelo Ball,,never played an nba game
Livio Jean-Charles,,never played an nba game
Louis Amundson,Lou Amundson,
Louis Williams,Lou Williams,
Luca Vildoza,,never played an nba game
Luigi Datome,Gigi Datome,
Luke Hancock,,never played an nba game
Luke Maye,,never played an nba game
Luke Nevill,,never played an nba game
MaCio Teague,,never played an nba game
Mac Koshwal,,never played an nba game
Magic Johnson,,season started before 1996-1997
Magnum Rolle,,never played an nba game
Mailk Hairston,Malik Hairston,
Makur Maker,,never played an nba game
Malcom Delaney,Malcolm Delaney,
Malik Ellison,,never played an nba game
Mamadou N’Diaye,,never played an nba game
Marcus Bingham,,never played an nba game
Marcus Denmon,,never played an nba game
Marcus Foster,,never played an nba game
Marcus Lee,,never played an nba game
Marcus Sasser,,never played an nba game
Marcus Simmons,,"never played in nba game, only G-league"
Marcus Zegarowski,,never played an nba game
Marial Shayock,Marial Shayok,
Mark Ogden,,never played an nba game
Markel Crawford,,never played in nba game
Marqus Blakely,,never played in nba game
Marshall Henderson,,never played in nba game
Matt Farrell,,never played in nba game
Matt Janning,,never played in nba game
Matthew Hurt,,never played in nba game
Matthew Mayer,,never played in nba game
Matur Maker,,never played in nba game
Maurice N'dour,,Maurice Ndour
Max Heidegger,,never played in nba game
Maxwell Lewis,,never played in nba game
Melo Trimble,,never played in nba game
Melvin Ejim,,never played in nba game
Micah Downs,,never played in nba game
Michael Cobbins,,never played in nba game
Michael Devoe,,never played in nba game
Michael Dunigan,,never played in nba game
Michael Eric,,never played in nba game
Michael Holyfield,,never played in nba game
Michael Lee,,never played in nba game
Michael Qualls,,never played in nba game
Michale Kyser,,never played in nba game
Mirza Begic,,never played in nba game
Mitch Ballock,,never played in nba game
Mitchell Watt,,never played in nba game
Mohamed Bamba,Mo Bamba,
Mouhamed Gueye,,never played in nba game
Mustapha Farrakhan,,never played in nba game
Nah'Shon Hyland,Bones Hyland,
Nate Pierre-Louis,,never played in nba game
Myck Kabongo,,G-League
